iter	R2	MAE
0	-0.04109821512	0.596626053
1	-0.02727946156	0.5922035504
2	-0.01382849721	0.5877817034
3	-0.002708912461	0.5838799565
4	0.008533450042	0.5799396856
5	0.02224891736	0.5757265662
6	0.03383524722	0.5717623564
7	0.04733076834	0.5673866441
8	0.0580195687	0.5635044661
9	0.07141653264	0.5592368456
10	0.08184667637	0.5554472786
11	0.09333798284	0.5513827382
12	0.1029915462	0.5477341518
13	0.1149612475	0.5437513175
14	0.1244934266	0.5401300017
15	0.1348299121	0.5364683751
16	0.1437192362	0.5329552372
17	0.153078565	0.5294418563
18	0.1626930152	0.5258520059
19	0.1709238709	0.5225945564
20	0.1793344888	0.5193544755
21	0.1890356445	0.515799239
22	0.1997974805	0.5120679958
23	0.2091095111	0.5085768493
24	0.2171623194	0.5053011798
25	0.2249278444	0.5022621766
26	0.2324351176	0.4992125212
27	0.2401696441	0.495958962
28	0.248966981	0.4924113835
29	0.2591819083	0.4886329408
30	0.2659650674	0.4857554221
31	0.2729809103	0.4827116073
32	0.2804556978	0.479525955
33	0.2867877765	0.476811141
34	0.2929676456	0.4740334476
35	0.2992217106	0.4712679
36	0.3094790122	0.4674327097
37	0.3161960088	0.4646482772
38	0.3224943542	0.4619517148
39	0.3281218774	0.4594357934
40	0.3342177818	0.4567090612
41	0.3403221329	0.4540458087
42	0.3464563683	0.4513997218
43	0.3520493239	0.4488621391
44	0.3572227686	0.4465138795
45	0.3627101749	0.4440187905
46	0.3684264848	0.4413864758
47	0.3739108613	0.4388810861
48	0.3788223919	0.4366393981
49	0.3839612117	0.434228475
50	0.3890191358	0.4318773583
51	0.3938652552	0.4296306993
52	0.4004121513	0.4268761751
53	0.408144644	0.4239864052
54	0.4153186832	0.4212621185
55	0.4226825498	0.4182676507
56	0.4276609654	0.4158753274
57	0.4320651266	0.4137431847
58	0.4370556735	0.4114219402
59	0.4423876263	0.4090961905
60	0.4478945557	0.4066595006
61	0.4518880069	0.4046718518
62	0.4583066531	0.4020425414
63	0.4653569154	0.3990229633
64	0.4718709269	0.3963872477
65	0.4778687509	0.3939270291
66	0.4838713296	0.3913750697
67	0.4890226097	0.3891148723
68	0.4931190796	0.387111876
69	0.4984701185	0.3848582615
70	0.5034698815	0.3826909382
