iter	Passed	Remaining
0	85	85269
1	167	83633
2	248	82653
3	335	83649
4	424	84514
5	501	83085
6	596	84587
7	681	84506
8	765	84319
9	850	84227
10	924	83155
11	1007	82918
12	1100	83581
13	1209	85155
14	1316	86474
15	1391	85561
16	1482	85713
17	1569	85632
18	1655	85495
19	1780	87234
20	1863	86869
21	1936	86082
22	2001	85013
23	2088	84923
24	2158	84185
25	2221	83214
26	2295	82734
27	2386	82832
28	2466	82592
29	2547	82378
30	2650	82856
31	2742	82949
32	2829	82925
33	2913	82774
34	3000	82727
35	3076	82385
36	3170	82526
37	3247	82218
38	3321	81856
39	3395	81486
40	3475	81288
41	3556	81114
42	3623	80645
43	3705	80505
44	3778	80183
45	3861	80081
46	3952	80146
47	4032	79978
48	4106	79704
49	4192	79663
50	4282	79681
51	4361	79507
52	4448	79482
53	4526	79301
54	4614	79280
55	4715	79487
56	4807	79526
57	4891	79440
58	4981	79449
59	5061	79294
60	5140	79130
61	5215	78901
62	5306	78922
63	5390	78829
64	5470	78698
65	5557	78642
66	5650	78683
67	5735	78616
68	5846	78890
69	5936	78870
70	6007	78602
71	6092	78523
72	6173	78391
73	6263	78383
74	6345	78266
75	6432	78209
76	6523	78195
77	6619	78245
78	6713	78270
79	6799	78195
80	6876	78021
81	6967	77997
82	7051	77902
83	7134	77801
84	7216	77678
85	7312	77713
86	7399	77652
87	7489	77619
88	7566	77454
89	7655	77405
90	7739	77307
91	7831	77295
92	7919	77235
93	8009	77196
94	8101	77175
95	8169	76930
96	8249	76798
97	8333	76705
98	8410	76543
99	8498	76486
100	8598	76537
101	8705	76641
102	8796	76604
103	8878	76494
104	8966	76428
105	9053	76357
106	9144	76315
107	9227	76215
108	9316	76154
109	9406	76107
110	9504	76119
111	9592	76057
112	9678	75974
113	9778	75995
114	9877	76010
115	9955	75864
116	10043	75795
117	10128	75707
118	10222	75680
119	10311	75616
120	10397	75531
121	10492	75513
122	10591	75519
123	10695	75558
124	10783	75484
125	10874	75434
126	10960	75344
127	11052	75297
128	11132	75164
129	11220	75092
130	11316	75069
131	11412	75045
132	11496	74940
133	11591	74911
134	11689	74896
135	11768	74766
136	11861	74721
137	11943	74601
138	12027	74503
139	12113	74408
140	12204	74353
141	12293	74277
142	12379	74191
143	12465	74097
144	12548	73990
145	12632	73892
146	12724	73839
147	12806	73725
148	12896	73654
149	12987	73595
150	13079	73538
151	13169	73474
152	13251	73359
153	13336	73262
154	13417	73145
155	13501	73046
156	13589	72966
157	13669	72843
158	13762	72792
159	13843	72678
160	13929	72590
161	14011	72477
162	14075	72276
163	14161	72189
164	14247	72102
165	14336	72026
166	14422	71938
167	14510	71861
168	14609	71835
169	14695	71746
170	14781	71660
171	14863	71553
172	14953	71483
173	15045	71423
174	15127	71313
175	15209	71210
176	15297	71130
177	15390	71071
178	15468	70948
179	15554	70858
180	15639	70765
181	15734	70716
182	15819	70626
183	15905	70536
184	15990	70445
185	16076	70357
186	16167	70289
187	16245	70165
188	16326	70058
189	16405	69939
190	16501	69892
191	16589	69814
192	16682	69755
193	16784	69734
194	16870	69644
195	16956	69557
196	17049	69495
197	17135	69407
198	17227	69342
199	17317	69270
200	17405	69188
201	17496	69119
202	17576	69006
203	17669	68943
204	17758	68868
205	17840	68762
206	17921	68654
207	17999	68538
208	18085	68448
209	18177	68381
210	18264	68296
211	18347	68197
212	18434	68112
213	18533	68070
214	18636	68046
215	18774	68143
216	18851	68021
217	18929	67903
218	19015	67813
219	19105	67738
220	19190	67645
221	19278	67562
222	19368	67485
223	19454	67397
224	19525	67256
225	19603	67139
226	19689	67049
227	19767	66932
228	19846	66818
229	19932	66730
230	20016	66636
231	20103	66548
232	20188	66456
233	20268	66349
234	20348	66239
235	20440	66170
236	20526	66082
237	20611	65991
238	20690	65882
239	20777	65796
240	20863	65705
241	20955	65638
242	21040	65544
243	21130	65469
244	21217	65384
245	21309	65313
246	21392	65215
247	21474	65117
248	21565	65043
249	21646	64939
250	21732	64850
251	21820	64770
252	21911	64694
253	22004	64628
254	22089	64536
255	22177	64454
256	22255	64342
257	22339	64248
258	22425	64159
259	22532	64130
260	22628	64070
261	22725	64013
262	22820	63950
263	22909	63868
264	22995	63779
265	23070	63661
266	23161	63584
267	23243	63485
268	23336	63416
269	23425	63334
270	23510	63244
271	23598	63159
272	23680	63060
273	23770	62983
274	23861	62908
275	23954	62836
276	24033	62730
277	24126	62658
278	24208	62560
279	24293	62468
280	24376	62371
281	24455	62265
282	24540	62174
283	24639	62119
284	24718	62014
285	24809	61937
286	24891	61837
287	24983	61764
288	25061	61655
289	25148	61569
290	25228	61467
291	25316	61383
292	25403	61297
293	25490	61212
294	25580	61132
295	25667	61048
296	25752	60955
297	25835	60861
298	25912	60751
299	25991	60646
300	26072	60546
301	26154	60450
302	26236	60352
303	26325	60271
304	26420	60203
305	26502	60107
306	26603	60053
307	26689	59965
308	26779	59886
309	26866	59800
310	26942	59688
311	27017	59577
312	27102	59487
313	27187	59397
314	27269	59299
315	27359	59220
316	27442	59126
317	27528	59039
318	27617	58957
319	27695	58853
320	27783	58769
321	27869	58680
322	27950	58583
323	28024	58470
324	28108	58378
325	28195	58293
326	28281	58206
327	28363	58109
328	28460	58044
329	28544	57953
330	28634	57875
331	28713	57773
332	28789	57664
333	28873	57573
334	28964	57496
335	29043	57395
336	29117	57284
337	29208	57206
338	29285	57102
339	29367	57006
340	29449	56912
341	29539	56833
342	29625	56746
343	29718	56672
344	29799	56575
345	29879	56477
346	29960	56381
347	30024	56251
348	30121	56186
349	30227	56136
350	30342	56103
351	30435	56028
352	30539	55974
353	30647	55927
354	30739	55851
355	30835	55780
356	30947	55739
357	31043	55671
358	31145	55610
359	31277	55603
360	31386	55557
361	31463	55451
362	31547	55360
363	31657	55313
364	31744	55227
365	31836	55148
366	31910	55038
367	32004	54964
368	32094	54882
369	32171	54779
370	32249	54677
371	32331	54580
372	32418	54494
373	32507	54411
374	32614	54356
375	32715	54293
376	32794	54194
377	32882	54108
378	32978	54035
379	33069	53955
380	33157	53870
381	33240	53777
382	33336	53703
383	33426	53621
384	33511	53532
385	33614	53470
386	33704	53387
387	33803	53318
388	33897	53241
389	33984	53155
390	34073	53070
391	34178	53011
392	34289	52961
393	34410	52925
394	34514	52864
395	34632	52823
396	34738	52763
397	34828	52680
398	34938	52627
399	35039	52559
400	35136	52486
401	35219	52390
402	35304	52299
403	35413	52243
404	35511	52171
405	35609	52099
406	35701	52017
407	35789	51930
408	35887	51856
409	35982	51779
410	36076	51700
411	36178	51632
412	36264	51542
413	36345	51445
414	36439	51366
415	36521	51271
416	36619	51196
417	36723	51131
418	36812	51045
419	36898	50955
420	37001	50887
421	37094	50807
422	37186	50725
423	37283	50649
424	37373	50564
425	37467	50483
426	37558	50400
427	37655	50324
428	37755	50253
429	37851	50174
430	37923	50066
431	38012	49979
432	38112	49907
433	38217	49841
434	38331	49786
435	38434	49717
436	38604	49734
437	38784	49764
438	38903	49714
439	39035	49681
440	39155	49632
441	39257	49560
442	39362	49491
443	39475	49432
444	39579	49363
445	39687	49298
446	39788	49224
447	39882	49141
448	39981	49064
449	40087	48995
450	40204	48941
451	40328	48893
452	40452	48847
453	40558	48777
454	40652	48694
455	40844	48726
456	40977	48689
457	41077	48610
458	41218	48581
459	41325	48513
460	41426	48435
461	41513	48342
462	41605	48255
463	41715	48188
464	41812	48106
465	41907	48022
466	42000	47936
467	42078	47832
468	42166	47741
469	42274	47670
470	42359	47575
471	42450	47486
472	42551	47409
473	42657	47336
474	42783	47286
475	42868	47191
476	42972	47116
477	43057	47021
478	43145	46928
479	43244	46848
480	43363	46788
481	43475	46722
482	43607	46677
483	43710	46600
484	43815	46525
485	43955	46488
486	44056	46408
487	44167	46340
488	44270	46261
489	44372	46183
490	44471	46101
491	44548	45997
492	44655	45923
493	44759	45846
494	44881	45788
495	44986	45711
496	45083	45627
497	45184	45547
498	45304	45486
499	45403	45403
500	45508	45326
501	45614	45250
502	45721	45176
503	45813	45086
504	45913	45004
505	46015	44923
506	46125	44851
507	46223	44767
508	46337	44698
509	46433	44612
510	46544	44540
511	46658	44471
512	46758	44388
513	46852	44300
514	46940	44206
515	47036	44119
516	47133	44033
517	47235	43952
518	47336	43870
519	47419	43772
520	47515	43685
521	47616	43603
522	47719	43521
523	47838	43456
524	47944	43378
525	48047	43297
526	48151	43217
527	48258	43140
528	48361	43059
529	48464	42977
530	48572	42900
531	48681	42825
532	48778	42738
533	48880	42656
534	48971	42563
535	49073	42481
536	49174	42398
537	49283	42321
538	49382	42235
539	49478	42148
540	49584	42068
541	49686	41985
542	49795	41909
543	49892	41821
544	50001	41744
545	50105	41662
546	50213	41584
547	50303	41491
548	50406	41408
549	50519	41334
550	50700	41314
551	50818	41244
552	50928	41166
553	51055	41102
554	51166	41025
555	51283	40952
556	51371	40857
557	51470	40770
558	51573	40686
559	51669	40597
560	51765	40508
561	51860	40417
562	51953	40326
563	52047	40235
564	52154	40154
565	52251	40065
566	52352	39980
567	52432	39878
568	52543	39800
569	52661	39726
570	52786	39658
571	52904	39585
572	53071	39548
573	53236	39510
574	53349	39432
575	53458	39351
576	53567	39270
577	53690	39199
578	53809	39125
579	53939	39059
580	54048	38978
581	54166	38902
582	54269	38817
583	54371	38730
584	54480	38648
585	54592	38568
586	54691	38480
587	54794	38393
588	54900	38309
589	55015	38231
590	55132	38154
591	55234	38066
592	55334	37978
593	55416	37877
594	55521	37791
595	55628	37707
596	55734	37622
597	55835	37534
598	55934	37445
599	56037	37358
600	56149	37277
601	56284	37211
602	56414	37141
603	56530	37062
604	56663	36995
605	56785	36919
606	56893	36835
607	57005	36753
608	57096	36657
609	57202	36572
610	57324	36496
611	57489	36447
612	57604	36366
613	57727	36291
614	57833	36204
615	57939	36118
616	58044	36030
617	58159	35949
618	58260	35859
619	58359	35768
620	58456	35676
621	58568	35593
622	58690	35515
623	58806	35434
624	58911	35346
625	59046	35277
626	59161	35194
627	59281	35115
628	59400	35035
629	59508	34949
630	59614	34861
631	59729	34779
632	59842	34695
633	59946	34606
634	60047	34515
635	60163	34433
636	60331	34380
637	60486	34319
638	60671	34276
639	60827	34215
640	60969	34146
641	61095	34068
642	61227	33994
643	61384	33933
644	61495	33846
645	61612	33762
646	61739	33684
647	61894	33621
648	62012	33538
649	62121	33450
650	62229	33360
651	62340	33273
652	62458	33190
653	62585	33111
654	62699	33024
655	62807	32935
656	62917	32847
657	63047	32769
658	63164	32684
659	63277	32597
660	63390	32510
661	63512	32428
662	63636	32346
663	63744	32256
664	63860	32170
665	63969	32080
666	64082	31993
667	64201	31908
668	64308	31817
669	64424	31731
670	64539	31644
671	64645	31553
672	64753	31462
673	64881	31381
674	65021	31306
675	65139	31220
676	65249	31130
677	65360	31041
678	65468	30950
679	65573	30858
680	65677	30765
681	65783	30673
682	65895	30583
683	66017	30499
684	66134	30412
685	66242	30320
686	66347	30228
687	66448	30133
688	66566	30046
689	66679	29957
690	66785	29864
691	66890	29771
692	66999	29680
693	67108	29589
694	67216	29497
695	67329	29408
696	67429	29313
697	67535	29220
698	67640	29127
699	67745	29033
700	67851	28941
701	67958	28848
702	68067	28756
703	68177	28665
704	68281	28571
705	68391	28480
706	68508	28391
707	68618	28300
708	68729	28209
709	68835	28116
710	68946	28024
711	69051	27931
712	69160	27838
713	69266	27745
714	69376	27653
715	69483	27560
716	69592	27468
717	69702	27376
718	69810	27283
719	69918	27190
720	70023	27096
721	70128	27002
722	70235	26909
723	70343	26815
724	70448	26721
725	70568	26633
726	70690	26545
727	70799	26452
728	70907	26359
729	71010	26264
730	71122	26172
731	71231	26079
732	71342	25987
733	71448	25892
734	71557	25799
735	71664	25705
736	71768	25610
737	71870	25515
738	71977	25420
739	72086	25327
740	72193	25233
741	72303	25140
742	72407	25045
743	72510	24949
744	72634	24861
745	72750	24770
746	72859	24676
747	72966	24582
748	73070	24486
749	73178	24392
750	73287	24298
751	73391	24203
752	73498	24109
753	73609	24015
754	73718	23922
755	73826	23827
756	73930	23731
757	74034	23636
758	74138	23540
759	74242	23444
760	74344	23348
761	74448	23252
762	74554	23157
763	74671	23066
764	74785	22973
765	74890	22877
766	74997	22782
767	75100	22686
768	75208	22591
769	75316	22497
770	75425	22402
771	75531	22307
772	75636	22211
773	75744	22116
774	75847	22020
775	75951	21924
776	76056	21828
777	76162	21732
778	76268	21637
779	76382	21543
780	76505	21452
781	76608	21356
782	76716	21261
783	76824	21165
784	76935	21071
785	77042	20975
786	77147	20879
787	77250	20783
788	77355	20686
789	77459	20590
790	77562	20493
791	77672	20398
792	77777	20302
793	77882	20206
794	77987	20109
795	78092	20013
796	78199	19917
797	78306	19821
798	78417	19727
799	78533	19633
800	78638	19536
801	78743	19440
802	78849	19344
803	78964	19250
804	79072	19154
805	79176	19057
806	79287	18962
807	79395	18866
808	79503	18770
809	79613	18674
810	79725	18579
811	79835	18484
812	79971	18394
813	80084	18299
814	80214	18208
815	80319	18111
816	80428	18015
817	80537	17919
818	80642	17822
819	80762	17728
820	80884	17634
821	81005	17541
822	81109	17443
823	81216	17347
824	81321	17250
825	81428	17153
826	81537	17056
827	81647	16960
828	81754	16863
829	81857	16765
830	81961	16668
831	82067	16571
832	82172	16473
833	82275	16376
834	82378	16278
835	82490	16182
836	82607	16087
837	82713	15989
838	82818	15892
839	82925	15795
840	83032	15698
841	83137	15600
842	83243	15503
843	83353	15406
844	83459	15309
845	83566	15211
846	83671	15114
847	83777	15016
